n-size,edge_probability,operations_count,operations_count,output
10,0.3,159,8.939E-6,false
10,0.3,382,1.4387E-5,false
10,0.3,147,1.0406E-5,false
10,0.3,436,9.987E-6,false
10,0.3,425,6.285E-6,false
10,0.3,438,4.8749E-5,true
10,0.3,459,9.149E-6,false
10,0.3,127,5.169E-6,false
10,0.3,212,7.123E-6,false
10,0.3,276,1.1873E-5,false
10,0.3,106,1.1104E-5,false
10,0.3,307,1.32E-5,false
10,0.3,264,1.1523E-5,false
10,0.3,361,1.1873E-5,false
10,0.3,332,7.612E-6,false
10,0.3,307,5.238E-6,false
10,0.3,403,5.797E-6,false
10,0.3,108,6.146E-6,false
10,0.3,340,6.286E-6,false
10,0.3,148,4.749E-6,false
10,0.3,402,8.381E-6,false
10,0.3,330,7.682E-6,false
10,0.3,418,5.3498E-5,true
10,0.3,106,6.705E-6,false
10,0.3,105,9.917E-6,false
10,0.3,127,1.32E-5,false
10,0.3,127,1.292E-5,false
10,0.3,127,8.52E-6,false
10,0.3,479,6.174E-5,true
10,0.3,244,7.543E-6,false
10,0.3,85,4.261E-6,false
10,0.3,106,4.819E-6,false
10,0.3,106,6.146E-6,false
10,0.3,438,6.635E-6,false
10,0.3,137,3.842E-6,false
10,0.3,169,6.146E-6,false
10,0.3,481,1.1524E-5,false
10,0.3,439,7.613E-6,false
10,0.3,127,7.054E-6,false
10,0.3,523,7.5568E-5,true
10,0.3,481,7.054E-6,false
10,0.3,393,5.727E-6,false
10,0.3,254,7.193E-6,false
10,0.3,500,7.124E-6,false
10,0.3,480,4.0927E-5,true
10,0.3,307,1.1104E-5,false
10,0.3,307,5.657E-6,false
10,0.3,85,4.26E-6,false
10,0.3,84,4.749E-6,false
10,0.3,180,4.331E-6,false
10,0.3,479,6.146E-6,false
10,0.3,148,9.01E-6,false
10,0.3,170,6.705E-6,false
10,0.3,126,6.215E-6,false
10,0.3,179,5.657E-6,false
10,0.3,403,5.378E-6,false
10,0.3,106,3.842E-6,false
10,0.3,297,6.634E-6,false
10,0.3,341,6.146E-6,false
10,0.3,438,8.591E-6,false
10,0.3,106,8.73E-6,false
10,0.3,128,1.1454E-5,false
10,0.3,126,1.1454E-5,false
10,0.3,127,1.1524E-5,false
10,0.3,190,1.4178E-5,false
10,0.3,394,1.4666E-5,false
10,0.3,106,1.2851E-5,false
10,0.3,106,1.1663E-5,false
10,0.3,126,1.0476E-5,false
10,0.3,148,8.241E-6,false
10,0.3,126,9.708E-6,false
10,0.3,127,1.0965E-5,false
10,0.3,85,4.1346E-5,false
10,0.3,106,9.429E-6,false
10,0.3,148,3.2965E-5,false
10,0.3,106,7.752E-6,false
10,0.3,416,7.7035E-5,true
10,0.3,339,9.848E-6,false
10,0.3,127,7.124E-6,false
10,0.3,105,5.308E-6,false
10,0.3,264,5.238E-6,false
10,0.3,502,9.638E-6,false
10,0.3,317,5.588E-6,false
10,0.3,329,5.308E-6,false
10,0.3,394,5.273E-5,true
10,0.3,105,4.4E-6,false
10,0.3,85,3.772E-6,false
10,0.3,127,4.75E-6,false
10,0.3,459,3.6248E-5,true
10,0.3,481,3.0032E-5,true
10,0.3,307,7.542E-6,false
10,0.3,461,5.727E-6,false
10,0.3,351,5.308E-6,false
10,0.3,126,3.702E-6,false
10,0.3,540,6.216E-6,false
10,0.3,127,4.4E-6,false
10,0.3,329,5.168E-6,false
10,0.3,481,7.753E-6,false
10,0.3,147,4.26E-6,false
10,0.3,128,4.4E-6,false
10,0.3,106,3.911E-6,false
10,0.3,277,4.68E-6,false
10,0.3,256,4.819E-6,false
10,0.3,404,5.308E-6,false
10,0.3,213,4.33E-6,false
10,0.3,393,5.308E-6,false
10,0.3,128,4.33E-6,false
10,0.3,170,5.238E-6,false
10,0.3,106,4.33E-6,false
10,0.3,84,3.282E-6,false
10,0.3,180,4.33E-6,false
10,0.3,85,3.702E-6,false
10,0.3,417,8.521E-6,false
10,0.3,255,4.191E-6,false
10,0.3,127,4.749E-6,false
10,0.3,542,4.1835E-5,true
10,0.3,127,2.864E-6,false
10,0.3,235,5.727E-6,false
10,0.3,192,4.749E-6,false
10,0.3,392,5.657E-6,false
10,0.5,522,9.499E-6,false
10,0.5,522,8.9676E-5,true
10,0.5,480,1.1803E-5,false
10,0.5,522,3.5339E-5,false
10,0.5,690,7.9549E-5,true
10,0.5,543,2.8076E-5,true
10,0.5,589,2.7936E-5,true
10,0.5,585,3.1498E-5,true
10,0.5,222,5.308E-6,false
10,0.5,170,4.26E-6,false
10,0.5,525,3.5339E-5,true
10,0.5,170,5.168E-6,false
10,0.5,628,1.0476E-5,false
10,0.5,628,3.3733E-5,true
10,0.5,712,2.9124E-5,true
10,0.5,501,2.4374E-5,true
10,0.5,587,2.2908E-5,true
10,0.5,735,2.619E-5,true
10,0.5,499,6.705E-6,false
10,0.5,605,7.054E-6,false
10,0.5,546,3.4851E-5,true
10,0.5,586,2.8146E-5,true
10,0.5,611,2.8355E-5,true
10,0.5,501,2.4794E-5,true
10,0.5,607,2.7657E-5,true
10,0.5,649,8.521E-6,false
10,0.5,544,2.6819E-5,true
10,0.5,541,5.797E-6,false
10,0.5,586,2.8635E-5,true
10,0.5,669,3.0101E-5,true
10,0.5,461,3.1429E-5,true
10,0.5,609,2.8077E-5,true
10,0.5,609,2.7239E-5,true
10,0.5,672,8.171E-6,false
10,0.5,149,4.819E-6,false
10,0.5,651,2.8705E-5,true
10,0.5,542,2.4235E-5,true
10,0.5,649,3.4362E-5,true
10,0.5,608,2.9822E-5,true
10,0.5,606,3.1918E-5,true
10,0.5,609,9.498E-6,false
10,0.5,566,3.7504E-5,true
10,0.5,477,6.705E-6,false
10,0.5,671,3.1498E-5,true
10,0.5,608,2.3886E-5,true
10,0.5,652,2.4724E-5,true
10,0.5,669,2.5771E-5,true
10,0.5,586,6.705E-6,false
10,0.5,589,2.675E-5,true
10,0.5,541,6.635E-6,false
10,0.5,285,5.238E-6,false
10,0.5,522,1.1524E-5,false
10,0.5,565,7.124E-6,false
10,0.5,563,3.2476E-5,true
10,0.5,544,2.9543E-5,true
10,0.5,523,2.619E-5,true
10,0.5,649,2.3396E-5,true
10,0.5,424,6.845E-6,false
10,0.5,608,7.123E-6,false
10,0.5,629,2.4654E-5,true
10,0.5,583,6.635E-6,false
10,0.5,779,2.6889E-5,true
10,0.5,511,5.308E-6,false
10,0.5,543,2.9543E-5,true
10,0.5,648,4.3999E-5,true
10,0.5,609,2.6749E-5,true
10,0.5,307,5.727E-6,false
10,0.5,694,3.925E-5,true
10,0.5,735,2.6261E-5,true
10,0.5,609,4.3022E-5,true
10,0.5,543,6.635E-6,false
10,0.5,694,2.8076E-5,true
10,0.5,562,2.4794E-5,true
10,0.5,524,3.2197E-5,true
10,0.5,543,6.565E-6,false
10,0.5,647,6.216E-6,false
10,0.5,562,2.5422E-5,true
10,0.5,608,2.3816E-5,true
10,0.5,545,2.1441E-5,true
10,0.5,604,2.4584E-5,true
10,0.5,585,2.8146E-5,true
10,0.5,565,2.6749E-5,true
10,0.5,383,4.33E-6,false
10,0.5,532,7.543E-6,false
10,0.5,566,5.1612E-5,true
10,0.5,382,1.0406E-5,false
10,0.5,625,6.216E-6,false
10,0.5,542,6.076E-6,false
10,0.5,567,3.8762E-5,true
10,0.5,645,5.657E-6,false
10,0.5,526,2.9962E-5,true
10,0.5,382,5.308E-6,false
10,0.5,565,5.657E-6,false
10,0.5,543,9.847E-6,false
10,0.5,586,3.052E-5,true
10,0.5,295,4.749E-6,false
10,0.5,607,2.6191E-5,true
10,0.5,403,5.168E-6,false
10,0.5,182,4.26E-6,false
10,0.5,585,5.238E-6,false
10,0.5,522,2.8914E-5,true
10,0.5,296,4.26E-6,false
10,0.5,568,3.0031E-5,true
10,0.5,693,2.9613E-5,true
10,0.5,608,2.4793E-5,true
10,0.5,668,8.9257E-5,true
10,0.5,562,9.498E-6,false
10,0.5,567,4.679E-6,false
10,0.5,629,5.3288E-5,true
10,0.5,545,2.619E-5,true
10,0.5,647,5.099E-6,false
10,0.5,374,6.775E-6,false
10,0.5,523,2.5632E-5,true
10,0.5,629,5.238E-6,false
10,0.5,373,5.168E-6,false
10,0.5,633,2.8076E-5,true
10,0.5,543,5.797E-6,false
10,0.5,553,5.658E-6,false
10,0.5,127,4.26E-6,false
10,0.5,585,6.146E-6,false
10,0.5,501,5.657E-6,false
10,0.5,690,5.796E-6,false
10,0.5,589,2.9612E-5,true
10,0.5,522,6.216E-6,false
10,0.5,361,4.191E-6,false
10,0.5,605,5.308E-6,false
10,0.5,585,3.2476E-5,true
10,0.5,628,2.9194E-5,true
10,0.5,672,2.5842E-5,true
10,0.5,567,2.3955E-5,false
10,0.5,585,2.5282E-5,true
10,0.5,586,9.149E-6,false
10,0.5,211,3.841E-6,false
10,0.5,423,4.33E-6,false
10,0.5,521,5.657E-6,false
10,0.5,542,3.4641E-5,true
10,0.5,587,2.6121E-5,true
10,0.5,606,5.657E-6,false
10,0.5,567,2.8635E-5,true
10,0.5,698,2.675E-5,true
10,0.5,670,2.3746E-5,true
10,0.5,567,2.4793E-5,true
10,0.5,716,2.7099E-5,true
10,0.5,607,2.4514E-5,true
10,0.5,692,2.5841E-5,true
10,0.5,627,2.2839E-5,true
10,0.5,610,2.9613E-5,true
10,0.5,630,4.4908E-5,true
10,0.5,672,2.626E-5,true
10,0.5,170,3.911E-6,false
10,0.5,587,2.9124E-5,true
10,0.5,586,2.4934E-5,true
10,0.5,481,2.3397E-5,true
10,0.5,514,4.679E-6,false
10,0.5,589,2.5492E-5,true
10,0.5,713,2.5422E-5,true
10,0.5,585,2.2E-5,true
10,0.5,543,2.4165E-5,true
10,0.5,606,2.0394E-5,true
10,0.5,671,2.5701E-5,true
10,0.5,651,2.3676E-5,true
10,0.5,668,2.2419E-5,true
10,0.5,586,2.7168E-5,true
10,0.5,592,2.5561E-5,true
10,0.5,521,3.772E-6,false
10,0.5,695,2.2E-5,true
10,0.5,544,2.2349E-5,true
10,0.5,630,2.2349E-5,true
10,0.5,562,2.0464E-5,true
10,0.5,623,5.657E-6,false
10,0.5,587,3.701E-6,false
10,0.5,712,2.5212E-5,true
10,0.5,520,1.0406E-5,false
10,0.5,525,4.7702E-5,true
10,0.5,592,6.146E-6,false
10,0.5,605,4.3022E-5,true
10,0.5,587,3.6247E-5,true
10,0.5,626,7.892E-6,false
10,0.5,647,4.331E-6,false
10,0.5,350,4.261E-6,false
10,0.5,467,4.889E-6,false
10,0.5,585,4.3371E-5,true
10,0.5,606,4.19E-6,false
10,0.5,169,3.841E-6,false
10,0.5,564,3.1498E-5,true
10,0.5,544,2.7727E-5,true
10,0.5,338,5.238E-6,false
10,0.5,564,4.0368E-5,true
10,0.5,628,2.6679E-5,true
10,0.5,674,4.1137E-5,true
10,0.5,373,6.705E-6,false
10,0.5,736,3.3384E-5,true
10,0.5,628,6.984E-6,false
10,0.5,584,3.2965E-5,true
10,0.5,628,3.0101E-5,true
10,0.5,522,2.2908E-5,true
10,0.5,149,3.283E-6,false
10,0.5,583,4.331E-6,false
10,0.5,298,3.841E-6,false
10,0.5,457,4.33E-6,false
10,0.5,566,2.7238E-5,true
10,0.5,501,2.2E-5,true
10,0.5,650,2.4584E-5,true
10,0.5,606,2.3886E-5,true
10,0.5,648,3.771E-6,false
10,0.5,604,3.841E-6,false
10,0.5,544,2.4374E-5,true
10,0.5,670,2.8705E-5,true
10,0.5,414,4.4E-6,false
10,0.5,587,2.5282E-5,true
10,0.5,468,3.352E-6,false
10,0.5,564,2.3956E-5,true
10,0.5,500,3.772E-6,false
10,0.5,606,2.4235E-5,true
10,0.5,630,9.3936E-5,true
10,0.5,520,4.889E-6,false
10,0.5,752,4.749E-6,false
10,0.5,590,2.633E-5,true
10,0.5,628,5.308E-6,false
10,0.5,647,2.2628E-5,true
10,0.5,737,2.2768E-5,true
10,0.5,669,2.4863E-5,true
10,0.5,542,2.228E-5,true
10,0.5,541,4.889E-6,false
10,0.5,565,4.191E-6,false
10,0.5,466,3.353E-6,false
10,0.5,521,6.984E-6,false
10,0.5,709,4.26E-6,false
10,0.5,626,7.682E-6,false
10,0.5,405,4.819E-6,false
10,0.5,653,4.2883E-5,true
10,0.5,298,4.819E-6,false
10,0.5,609,2.3886E-5,true
10,0.5,546,2.0393E-5,true
10,0.5,478,4.609E-6,false
10,0.5,457,2.3816E-5,true
10,0.5,543,2.3188E-5,true
10,0.5,459,6.356E-6,false
10,0.5,443,8.521E-6,false
10,0.5,607,3.8064E-5,true
10,0.5,481,2.2349E-5,true
10,0.5,566,1.9556E-5,true
10,0.5,673,2.2978E-5,true
10,0.5,668,4.33E-6,false
10,0.5,459,1.8927E-5,true
10,0.5,542,4.26E-6,false
10,0.5,425,4.19E-6,false
10,0.5,547,6.146E-6,false
10,0.5,168,3.771E-6,false
10,0.5,500,2.4375E-5,true
10,0.5,521,3.772E-6,false
10,0.5,648,2.633E-5,true
10,0.5,631,3.771E-6,false
10,0.5,589,3.8273E-5,true
10,0.5,329,3.771E-6,false
10,0.5,583,4.4E-6,false
10,0.5,317,3.282E-6,false
10,0.5,597,3.352E-6,false
10,0.5,649,2.9054E-5,true
10,0.5,610,2.2489E-5,true
10,0.5,627,2.2349E-5,true
10,0.5,565,1.9625E-5,true
10,0.5,794,2.0882E-5,true
10,0.5,697,2.2977E-5,true
10,0.5,605,2.0463E-5,true
10,0.5,521,3.772E-6,false
10,0.5,565,2.1022E-5,true
10,0.5,563,4.26E-6,false
10,0.5,545,2.668E-5,true
10,0.5,691,3.2476E-5,true
10,0.5,147,6.076E-6,false
10,0.5,147,6.146E-6,false
10,0.5,481,3.4292E-5,true
10,0.5,148,3.352E-6,false
10,0.5,687,5.238E-6,false
10,0.5,627,9.149E-6,false
10,0.5,627,3.0242E-5,true
10,0.5,503,2.3956E-5,true
10,0.5,610,2.3816E-5,true
10,0.5,609,1.8788E-5,true
10,0.5,611,3.772E-6,false
10,0.5,521,2.1791E-5,true
10,0.5,168,3.771E-6,false
10,0.5,627,5.727E-6,false
10,0.5,545,2.1371E-5,true
10,0.5,584,5.726E-6,false
10,0.5,545,3.2406E-5,true
10,0.5,609,5.168E-6,false
10,0.5,511,4.4E-6,false
10,0.5,481,2.6889E-5,true
10,0.5,169,4.68E-6,false
10,0.5,148,3.353E-6,false
10,0.5,587,3.3873E-5,true
10,0.5,606,3.2406E-5,true
10,0.5,436,3.8762E-5,true
10,0.5,608,2.2698E-5,true
10,0.5,480,1.8019E-5,true
