n-size,edge_probability,operations_count,time,output
1,0.3,0,4.76837158203125e-06,False
1,0.3,0,2.6226043701171875e-06,False
1,0.3,0,2.86102294921875e-06,False
1,0.3,0,2.384185791015625e-06,False
1,0.3,0,2.86102294921875e-06,False
1,0.3,0,2.384185791015625e-06,False
1,0.3,0,2.384185791015625e-06,False
1,0.3,0,2.6226043701171875e-06,False
1,0.3,0,2.384185791015625e-06,False
1,0.3,0,2.1457672119140625e-06,False
1,0.3,0,2.384185791015625e-06,False
1,0.3,0,2.384185791015625e-06,False
1,0.3,0,2.384185791015625e-06,False
1,0.3,0,2.86102294921875e-06,False
1,0.3,0,2.384185791015625e-06,False
1,0.3,0,2.1457672119140625e-06,False
1,0.3,0,2.384185791015625e-06,False
1,0.3,0,2.384185791015625e-06,False
1,0.3,0,2.1457672119140625e-06,False
1,0.3,0,2.384185791015625e-06,False
1,0.3,0,2.384185791015625e-06,False
1,0.3,0,2.1457672119140625e-06,False
1,0.3,0,1.9073486328125e-06,False
1,0.3,0,2.384185791015625e-06,False
1,0.3,0,2.1457672119140625e-06,False
1,0.3,0,2.384185791015625e-06,False
1,0.3,0,2.6226043701171875e-06,False
1,0.3,0,2.1457672119140625e-06,False
1,0.3,0,2.384185791015625e-06,False
1,0.3,0,2.1457672119140625e-06,False
1,0.5,0,5.0067901611328125e-06,False
1,0.5,0,2.86102294921875e-06,False
1,0.5,0,2.6226043701171875e-06,False
1,0.5,0,2.86102294921875e-06,False
1,0.5,0,3.0994415283203125e-06,False
1,0.5,0,2.86102294921875e-06,False
1,0.5,0,2.6226043701171875e-06,False
1,0.5,0,2.1457672119140625e-06,False
1,0.5,0,2.6226043701171875e-06,False
1,0.5,0,2.384185791015625e-06,False
1,0.5,0,1.6689300537109375e-06,False
1,0.5,0,2.384185791015625e-06,False
1,0.5,0,2.1457672119140625e-06,False
1,0.5,0,2.384185791015625e-06,False
1,0.5,0,2.384185791015625e-06,False
1,0.5,0,2.6226043701171875e-06,False
1,0.5,0,2.384185791015625e-06,False
1,0.5,0,2.1457672119140625e-06,False
1,0.5,0,2.1457672119140625e-06,False
1,0.5,0,2.6226043701171875e-06,False
1,0.5,0,2.384185791015625e-06,False
1,0.5,0,2.1457672119140625e-06,False
1,0.5,0,2.86102294921875e-06,False
1,0.5,0,2.1457672119140625e-06,False
1,0.5,0,2.384185791015625e-06,False
1,0.5,0,2.6226043701171875e-06,False
1,0.5,0,2.1457672119140625e-06,False
1,0.5,0,2.6226043701171875e-06,False
1,0.5,0,2.384185791015625e-06,False
1,0.5,0,2.1457672119140625e-06,False
1,0.7,0,4.76837158203125e-06,False
1,0.7,0,2.6226043701171875e-06,False
1,0.7,0,2.384185791015625e-06,False
1,0.7,0,2.1457672119140625e-06,False
1,0.7,0,3.0994415283203125e-06,False
1,0.7,0,2.1457672119140625e-06,False
1,0.7,0,2.1457672119140625e-06,False
1,0.7,0,2.384185791015625e-06,False
1,0.7,0,1.9073486328125e-06,False
1,0.7,0,2.6226043701171875e-06,False
1,0.7,0,2.1457672119140625e-06,False
1,0.7,0,2.384185791015625e-06,False
1,0.7,0,2.384185791015625e-06,False
1,0.7,0,1.6689300537109375e-06,False
1,0.7,0,2.1457672119140625e-06,False
1,0.7,0,2.1457672119140625e-06,False
1,0.7,0,2.384185791015625e-06,False
1,0.7,0,1.6689300537109375e-06,False
1,0.7,0,2.1457672119140625e-06,False
1,0.7,0,2.1457672119140625e-06,False
1,0.7,0,2.384185791015625e-06,False
1,0.7,0,1.9073486328125e-06,False
1,0.7,0,2.1457672119140625e-06,False
1,0.7,0,2.384185791015625e-06,False
1,0.7,0,2.6226043701171875e-06,False
1,0.7,0,2.1457672119140625e-06,False
1,0.7,0,2.6226043701171875e-06,False
1,0.7,0,2.86102294921875e-06,False
1,0.7,0,1.6689300537109375e-06,False
1,0.7,0,2.86102294921875e-06,False
2,0.3,0,5.4836273193359375e-06,False
2,0.3,0,3.337860107421875e-06,False
